t_acc,t_ang,t_ori,acc.x,acc.y,acc.z,ang.x,ang.y,ang.z,yaw,pitch,roll,avg_acc.x,avg_acc.y,avg_acc.z,avg_ang.x,avg_ang.y,avg_ang.z,prev,class
8.76791E+11,8.76791E+11,8.76791E+11,0.545736,-0.189763,0.551275,37.375,105.5,7.875,1.18261,-1.14856,-2.93771,0.498578,0.397883,0.770136,-0.334113,-0.244861,0.910171,2,0
8.76792E+11,8.76792E+11,8.76792E+11,0.768041,0.297052,0.498044,87.1875,91.625,-18.8125,1.72335,-1.27255,-3.06894,-0.64144,-0.211497,-0.737444,0.660104,0.379183,-0.648446,0,2
8.76793E+11,8.76793E+11,8.76793E+11,0.667446,-0.0824206,0.238796,-50.3125,81.25,48,1.43365,-0.779203,3.13081,0.113099,0.0431348,-0.992647,-0.467212,-0.811584,0.350777,2,4
8.76794E+11,8.76794E+11,8.76794E+11,0.789203,-0.193665,0.482148,118.562,107,-41.875,2.26435,-1.18323,2.34949,0.0993349,0.300375,0.948635,-0.233612,0.942083,-0.240633,4,1
8.76795E+11,8.76795E+11,8.76795E+11,0.53761,0.355181,0.34932,27.5625,33,20,-1.7562,-1.43903,0.445386,0.282872,0.523858,0.803465,0.698339,0.708036,0.104917,1,3
8.76796E+11,8.76796E+11,8.76796E+11,0.664582,-0.0955234,0.959656,71.9375,-10.9375,-0.625,0.976495,-1.10761,-2.3668,0.470822,-0.861508,0.190081,-0.170504,-0.732093,0.659521,3,0
8.76797E+11,8.76797E+11,8.76797E+11,1.54988,-0.110257,0.298821,-89.5,75.4375,87.125,1.97283,-0.975366,2.90955,-0.213218,-0.119895,-0.96962,-9.95E-05,-0.635401,-0.772182,0,4
8.76799E+11,8.76799E+11,8.76799E+11,1.16152,-0.142004,1.154,-23.125,13.5,18.375,2.46029,-1.15005,2.20543,0.359664,-0.0353707,0.932411,-0.789656,0.536556,-0.297576,4,3
8.768E+11,8.768E+11,8.768E+11,0.58804,-0.599934,0.513838,-130.75,-13.0625,117.188,0.763817,-1.1591,-2.0791,-0.453759,0.231915,-0.860417,0.592143,0.357315,0.722283,3,2
8.76801E+11,8.76801E+11,8.76801E+11,0.677502,-0.220137,0.0902914,-132.188,157.5,100,1.52785,-0.795684,2.98204,-0.146645,-0.390743,-0.908744,-0.303523,-0.948682,0.0887454,2,1
8.76802E+11,8.76802E+11,8.76802E+11,0.821135,-0.275277,0.945663,-86.375,53.6875,16.625,-1.62373,-1.31273,0.128139,0.227284,0.462917,0.856767,0.207921,0.97796,0.0190348,1,0
8.76803E+11,8.76803E+11,8.76803E+11,0.641251,0.0306117,0.290628,30.1875,53.125,-8.875,1.71665,-1.15662,3.11674,0.0907808,0.302205,-0.948911,0.00817536,-0.999952,0.00533981,0,1
8.76806E+11,8.76806E+11,8.76806E+11,1.72244,-0.293871,1.08538,-4.0625,-68.4375,24.5625,-1.98208,-1.38689,0.570608,0.518933,-0.422409,0.743155,0.0423175,0.993395,-0.106658,1,2
8.76807E+11,8.76807E+11,8.76807E+11,0.536188,-0.087752,0.809105,117.875,143.188,25.9375,1.4314,-1.04939,-3.09495,0.684459,-0.144777,-0.714532,-0.290171,-0.934493,0.206211,2,3
8.76808E+11,8.76808E+11,8.76808E+11,1.44383,0.239802,0.650347,-201.375,42.125,195.312,0.771093,-1.28946,-1.82797,-0.289971,0.438567,-0.850632,0.549104,0.697904,-0.459799,3,4
8.76809E+11,8.76809E+11,8.76809E+11,1.35645,-0.150963,0.448386,16.875,129.625,-24.625,2.27572,-0.828975,2.57229,0.201905,0.277951,-0.939137,-0.75818,-0.469498,-0.452476,4,0
8.7681E+11,8.7681E+11,8.7681E+11,0.65445,0.254387,0.325748,28.4375,99,44.75,1.66284,-1.15755,3.09088,-0.575258,0.739042,0.350565,0.102263,0.325376,0.940039,0,3
8.76816E+11,8.76816E+11,8.76816E+11,0.802453,-0.326305,0.381086,-115.312,48.875,104.938,0.848028,-1.06091,-2.39504,0.16387,-0.986138,-0.0260314,0.163054,0.350433,0.922285,3,1
8.76817E+11,8.76817E+11,8.76817E+11,0.250872,-0.0547396,0.902478,34,72.3125,-21.875,-2.04118,-1.44876,0.576515,0.081045,-0.372838,0.92435,-0.115504,0.802783,-0.584977,1,4
8.76818E+11,8.76818E+11,8.76818E+11,0.627474,0.250157,0.452231,19.3125,38.5625,-19.1875,2.10398,-0.972547,2.70737,0.347944,0.750745,-0.561531,-0.0126155,-0.962902,-0.269558,4,2
8.76819E+11,8.76819E+11,8.76819E+11,0.416778,-0.685365,0.435055,-44.5,47.5,17.875,1.26411,-1.04634,-3.13271,0.505938,-0.747158,0.431023,-0.681669,-0.198622,0.704185,2,0
8.7682E+11,8.7682E+11,8.7682E+11,1.30626,-0.236602,0.914223,61.625,134.062,-19.125,1.42428,-1.36302,-2.99985,-0.481195,-0.795722,-0.367801,0.464168,0.772278,-0.433746,0,2
8.76824E+11,8.76824E+11,8.76824E+11,0.625571,-0.274447,0.335489,5.4375,140.812,10.75,1.30307,-0.862835,3.02735,-0.662447,0.650824,-0.370934,-0.561296,-0.799678,0.213219,2,4
8.76824E+11,8.76824E+11,8.76824E+11,0.767855,0.248992,0.2812,210.688,190.875,-59,2.00584,-1.11904,2.52201,0.0579697,0.584135,-0.809584,0.0172105,0.928229,-0.371611,4,1
8.76825E+11,8.76825E+11,8.76825E+11,0.905416,0.0495967,0.693155,-74.25,104.25,59.125,-0.281253,-1.39063,-1.52364,0.282482,-0.0580527,0.957514,0.269085,0.620548,0.736555,1,3
8.76826E+11,8.76826E+11,8.76826E+11,0.960045,-0.569788,0.75881,-23.5625,15.4375,7.9375,0.811021,-0.975501,-2.56421,0.36395,-0.915193,-0.173094,0.147355,-0.911979,0.38286,3,0
8.76828E+11,8.76828E+11,8.76828E+11,0.949272,-0.322967,0.30384,16.8125,110.562,-4.5625,1.61776,-1.2313,3.06951,-0.638884,0.275505,-0.718279,0.285024,-0.179848,-0.941497,0,4
8.76828E+11,8.76828E+11,8.76828E+11,1.25394,0.175062,0.369232,28.4375,123.312,7.25,2.14746,-1.05848,2.46411,-0.91218,-0.178627,-0.36881,-0.643695,-0.0356563,-0.764451,4,3
8.76829E+11,8.76829E+11,8.76829E+11,0.715107,-0.140523,0.473415,-139.062,42.625,118.25,0.827867,-1.10855,-2.2048,-0.074596,0.918284,0.388833,0.704038,0.424056,0.569655,3,2
8.7683E+11,8.7683E+11,8.7683E+11,0.742606,-0.0445507,0.222054,-102.312,174.25,59.875,1.51049,-0.867362,3.06147,-0.214447,-0.789354,-0.575268,-0.408117,-0.911114,0.0575526,2,1
8.76832E+11,8.76832E+11,8.76832E+11,1.56352,-0.249895,0.957145,64.9375,166.375,-14.1875,1.47761,-1.22459,-3.03707,0.18058,0.663538,0.726023,0.22666,0.973933,-0.00895536,1,0
8.77043E+11,0,8.77043E+11,0.842188,0.00234375,-0.218359,0,0,0,1.19887,-1.31111,-3.05375,0.967989,0.00269385,-0.250977,0,0,0,0,1
8.77044E+11,8.77044E+11,8.77044E+11,1.31807,-0.697115,0.853286,-27.9375,-17.5625,2,-2.43321,-1.35301,0.63078,0.963986,-0.103316,0.245064,-0.838511,0.486431,0.24553,1,2
8.77045E+11,8.77045E+11,8.77045E+11,1.39705,0.403728,0.643805,43.25,168.062,23.0625,0.96133,-0.846186,3.08017,0.00992572,0.00488091,-0.999939,-0.344424,-0.918595,0.19379,2,3
8.77046E+11,8.77046E+11,8.77046E+11,0.606969,-0.452748,0.381178,-166.562,-7.8125,145.562,0.473972,-1.11275,-2.30288,-0.837335,-0.245276,-0.488579,0.567817,0.816875,-0.101485,3,4
8.77047E+11,8.77047E+11,8.77047E+11,1.29698,-0.174031,0.552412,20.125,80.625,-7.1875,1.5808,-0.993518,2.37997,0.789165,0.0180456,0.613916,-0.912747,-0.0532897,-0.405034,4,0
8.77048E+11,8.77048E+11,8.77048E+11,1.12593,-0.149615,0.823189,45.125,74.5625,41.5625,1.27633,-1.16332,3.08998,-0.526129,0.837797,0.145894,0.917696,0.220307,0.330605,0,3
8.77049E+11,8.77049E+11,8.77049E+11,0.890084,-0.805211,0.45737,-180.5,38.8125,129.875,0.369431,-0.987125,-2.37278,-0.128958,-0.725204,-0.67635,0.293426,0.261053,0.919648,3,1
8.7705E+11,8.7705E+11,8.7705E+11,0.867962,-0.547914,0.841008,151.375,28,-82,-2.94257,-1.36315,1.14693,0.1517,0.0284535,0.988017,0.118706,0.770214,-0.626641,1,4
8.77051E+11,8.77051E+11,8.77051E+11,0.497708,-0.172516,0.568828,-32.8125,78.3125,22.75,1.59427,-1.01389,2.51404,0.682273,0.440975,-0.583133,-0.441875,-0.89382,-0.0763686,4,2
8.77052E+11,8.77052E+11,8.77052E+11,1.52805,0.390398,0.433076,10.625,150.875,49.625,0.568767,-0.854558,-3.13988,-0.0932573,0.24276,-0.965593,-0.268497,-0.615982,0.740591,2,0
8.77053E+11,8.77053E+11,8.77053E+11,0.686292,-0.0804707,0.362065,27.9375,123.25,0,0.867011,-1.19956,-2.86722,-0.857117,-0.426,0.289611,0.662867,0.543295,-0.515207,0,2
8.77053E+11,8.77053E+11,8.77053E+11,0.757159,-0.514167,0.423505,-49.9375,123.5,22.375,0.783,-0.84344,2.98494,0.945442,-0.319703,0.06269,-0.71931,-0.598428,0.352813,2,4
8.77054E+11,8.77054E+11,8.77054E+11,1.24065,-0.128529,1.2222,84.4375,70.875,-0.8125,1.70689,-1.25152,2.26469,0.40923,0.0913068,0.907851,0.134413,0.960967,-0.241816,4,1
8.77055E+11,8.77055E+11,8.77055E+11,0.633092,0.172548,0.436099,34.3125,1.9375,8.5,-2.18914,-1.42908,0.232023,-0.687056,0.436542,0.580848,0.689875,0.690455,0.217588,1,3
8.77056E+11,8.77056E+11,8.77056E+11,0.930861,-0.3767,0.391899,27.25,51.125,-15.1875,0.33885,-1.06179,-2.51424,0.203482,-0.806619,-0.554942,-0.211399,-0.78996,0.575563,3,0
8.77057E+11,8.77057E+11,8.77057E+11,0.814444,-0.162922,-0.0388384,27.875,82.75,16.875,1.36104,-1.0084,2.94576,-0.360098,0.256448,-0.896975,0.19423,-0.243613,-0.950225,0,4
8.77058E+11,8.77058E+11,8.77058E+11,1.00736,0.152361,0.410175,67.9375,102.688,-17.0625,1.75951,-0.927256,2.39701,-0.11862,0.756786,0.64281,-0.82515,-0.0455908,-0.563072,4,3
8.77059E+11,8.77059E+11,8.77059E+11,1.02828,-1.11632,0.582535,-103.562,12.25,42.625,0.233971,-1.10492,-2.29356,0.437867,-0.360071,0.823785,0.209707,0.580937,0.78647,3,2
8.7706E+11,8.7706E+11,8.7706E+11,0.65513,-0.437274,-0.327011,-100.938,62.625,171.75,0.910306,-0.58681,3.10126,-0.550563,-0.246714,-0.797504,0.0149521,-0.999876,0.00492921,2,1
8.77061E+11,8.77061E+11,8.77061E+11,0.824235,-0.383755,0.522539,32.5,5.25,0.25,-2.48442,-1.46564,0.480289,0.575031,0.252986,0.778034,0.147642,0.988965,-0.0122464,1,0
